id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-11-11T07:53:50;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-11-10T19:46:32;75071;94375
2;program Unbranded;2020-11-11T08:02:50;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-11-11T00:27:21;8068;31806
3;Indian Rupee Ngultrum;2020-11-11T10:01:01;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-11-11T07:27:22;92121;74564
4;transmitting EXE parse;2020-11-11T06:24:51;open architecture;PAID;PAYPAL;2020-11-11T13:28:55;99574;33894
5;attitude-oriented;2020-11-11T00:55:48;Integration structure;CANCELLED;PAYPAL;2020-11-11T03:03:18;72584;98923
6;SDD auxiliary Utah;2020-11-11T04:00:16;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-11-10T19:22:27;7073;6807
7;Customer;2020-11-11T14:27:20;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-11-10T18:43:52;32780;10756
8;Arizona Awesome Fresh Soap system;2020-11-11T00:41:01;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-11-11T00:30:04;50263;19746
9;applications Generic;2020-11-10T22:55:47;Assurance;ISSUED;CASH_ON_DELIVERY;2020-11-11T13:33:26;36970;88317
10;functionalities bifurcated;2020-11-11T08:41:11;Investment Account;PAID;CREDIT_CARD;2020-11-11T08:41:11;94911;93817
