id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-11-10T16:05:34;payment unleash Jamaican Dollar;1
2;Rest;2020-11-11T11:22:04;Plains;2
3;Quality Plastic plum;2020-11-10T15:42:26;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-11-11T12:09:38;Architect SSL;4
5;zero tolerance;2020-11-11T09:05:57;user-facing CSS;5
6;ADP Ouguiya;2020-11-11T05:02:25;Garden;6
7;auxiliary;2020-11-11T13:18:25;functionalities Bedfordshire withdrawal;7
8;Data;2020-11-10T16:16:26;Viaduct hybrid;8
9;mesh;2020-11-11T14:42:05;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-11-11T12:40:59;Re-engineered withdrawal Ball;10
